X;Y;Z;PHI_GRS;LAM_GRS;HELL_GRS;Y_GEBR;X_GEBR;H_GEBR;UND_BESS;UND_GRS;MS;ORTH_H;PHI_MGI;LAM_MGI;RASTERVALU;H_GRID
4122059,6200;1186952,0550;4705576,8870;47,83957963;16,06381914;882,733;-20087,245;5300137,482;836,800;1,262;46,331;34;836,40197753906;47,84005047040;16,06495492570;-0,40009272;836,80207025900
4121478,0820;1188134,0980;4705361,4050;47,83982253;16,08114159;567,582;-18790,392;5300160,096;521,660;1,196;46,250;34;521,33197021484;47,84029278640;16,08227989880;-0,41522112;521,74719133500
4121691,3160;1187370,0300;4705790,1620;47,84245500;16,07054570;880,929;-19582,569;5300455,485;834,980;1,238;46,299;34;834,63000488281;47,84292585970;16,07168256380;-0,40910444;835,03910932300
4121134,6070;1187078,5520;4706443,3310;47,85050115;16,06886266;951,988;-19705,476;5301350,488;906,110;1,246;46,302;34;905,68597412109;47,85097303810;16,06999986840;-0,41271308;906,09868720100
4120857,8750;1183072,3540;4707659,6860;47,86699609;16,01843924;932,580;-23471,524;5303198,943;886,600;1,374;46,456;34;886,12402343750;47,86747224510;16,01957230170;-0,42417485;886,54819828700
4126034,9940;1186015,1420;4701851,3380;47,79334988;16,03712254;513,595;-22105,371;5295004,751;467,617;1,326;46,459;34;467,13598632813;47,79381645470;16,03825298980;-0,40985239;467,54583871800
4126891,7010;1181015,2860;4703104,0650;47,80461415;15,96982404;1068,839;-27141,733;5296279,012;1022,670;1,541;46,721;34;1022,11798095703;47,80508519590;15,97094606070;-0,40674528;1022,52472624000
4124862,5500;1187253,5970;4702808,5710;47,80435821;16,05733415;695,787;-20586,728;5296223,066;649,840;1,257;46,362;34;649,42498779297;47,80482526060;16,05846747390;-0,41290578;649,83789357300
4125532,2720;1183257,4830;4703871,9120;47,81384397;16,00359496;1174,798;-24607,570;5297293,800;1128,690;1,452;46,595;34;1128,20300292969;47,81431483540;16,00472207300;-0,40882218;1128,61182511000
4123650,2110;1184194,3720;4705208,4020;47,83224616;16,02255137;1124,137;-23179,604;5299333,983;1078,140;1,399;46,510;34;1077,62695312500;47,83271883970;16,02368196830;-0,41209933;1078,03905246000
